,Crime Type,Loss Amount,state,year,url
1489,Tech Support,7626,Indiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1491,Virus,399,Indiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1494,Virtual Currency,0,Indiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1496,419/Overpayment,288220,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1497,Advanced Fee,126226,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1498,Auction,94373,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1499,BEC/EAC,753633,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1500,Charity,100,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1501,Civil Matter,2381,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1502,Confidence Fraud/Romance,2622283,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1503,Corporate Data Breach,16394,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1504,Credit Card Fraud,147544,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1505,Crimes Against Children,0,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1506,Criminal Forums,0,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1507,Denial of Service,100,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1508,Employment,92768,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1509,Extortion,151913,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1510,Gambling,70,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1511,Government Impersonation,25307,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1512,Hacktivist,0,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1513,Harassment/Threats of Violence,60595,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1514,,,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1515,Descriptors*,,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1516,Social Media,245859,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1517,"*These descriptors relate to the medium or tool used to facilitate the crime, and are used by the IC3 for tracking purposes only. They are available only after another crime type has been selected.",,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1518,Health Care Related,0,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1519,IPR/Copyright and Counterfeit,7057,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1520,Identity Theft,67939,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1521,Investment,205500,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1522,Lottery/Sweepstakes,24581,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1523,Malware/Scareware,14442,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1524,Misrepresentation,19767,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1525,No Lead Value,0,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1526,Non-payment/Non-Delivery,637421,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1527,Other,4748,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1528,Personal Data Breach,168275,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1529,Phishing/Vishing/Smishing/Pharming,31730,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1530,Ransomware,4600,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1531,Re-shipping,0,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1532,Real Estate/Rental,121848,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1533,Tech Support,23583,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1534,Terrorism,0,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1535,Virus,5599,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1536,,,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1538,Virtual Currency,6824,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1540,419/Overpayment,90230,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1541,Advanced Fee,378945,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1542,Auction,63679,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1543,BEC/EAC,277872,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1544,Charity,0,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1545,Civil Matter,0,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1546,Confidence Fraud/Romance,1124466,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1547,Corporate Data Breach,20311,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1548,Credit Card Fraud,153644,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1551,Denial of Service,0,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1552,Employment,57693,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1553,Extortion,87400,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1554,Gambling,0,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1555,Government Impersonation,1050,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1557,Harassment/Threats of Violence,29900,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1560,Social Media,70210,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1563,IPR/Copyright and Counterfeit,9900,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1564,Identity Theft,54556,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1565,Investment,50000,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1566,Lottery/Sweepstakes,2912,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1567,Malware/Scareware,240,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1568,Misrepresentation,6886,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1570,Non-payment/Non-Delivery,508534,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1571,Other,7400,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1572,Personal Data Breach,159293,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1573,Phishing/Vishing/Smishing/Pharming,20500,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1574,Ransomware,0,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1575,Re-shipping,2900,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1576,Real Estate/Rental,20458,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1577,Tech Support,1900,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1579,Virus,250,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1582,Virtual Currency,13,Iowa,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1584,419/Overpayment,417765,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1585,Advanced Fee,386734,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1586,Auction,73416,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1587,BEC/EAC,1804042,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1588,Charity,250,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1589,Civil Matter,882,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1590,Confidence Fraud/Romance,2532399,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1591,Corporate Data Breach,32524,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1592,Credit Card Fraud,259490,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1593,Crimes Against Children,0,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1594,Criminal Forums,0,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1595,Denial of Service,0,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1596,Employment,163044,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1597,Extortion,109303,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1598,Gambling,0,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1599,Government Impersonation,48712,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1600,Hacktivist,0,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1601,Harassment/Threats of Violence,378074,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1602,,,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1603,Descriptors*,,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1604,Social Media,1048696,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1605,"*These descriptors relate to the medium or tool used to facilitate the crime, and are used by the IC3 for tracking purposes only. They are available only after another crime type has been selected.",,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1606,Health Care Related,0,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1607,IPR/Copyright and Counterfeit,97525,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1608,Identity Theft,111745,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1609,Investment,1245,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1610,Lottery/Sweepstakes,502981,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1611,Malware/Scareware,2039,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1612,Misrepresentation,26797,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1613,No Lead Value,0,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1614,Non-payment/Non-Delivery,821746,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1615,Other,32989,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1616,Personal Data Breach,158013,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1617,Phishing/Vishing/Smishing/Pharming,162624,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1618,Ransomware,11500,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1619,Re-shipping,0,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1620,Real Estate/Rental,252841,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1621,Tech Support,23486,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1622,Terrorism,0,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1623,Virus,400,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1624,,,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1626,Virtual Currency,16075,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1628,419/Overpayment,121755,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1629,Advanced Fee,110504,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1630,Auction,135298,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1631,BEC/EAC,95200,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1632,Charity,0,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1633,Civil Matter,100,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1634,Confidence Fraud/Romance,559816,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1635,Corporate Data Breach,1000,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1636,Credit Card Fraud,36403,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1640,Employment,59952,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1641,Extortion,9590,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1642,Gambling,70,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1643,Government Impersonation,11172,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1645,Harassment/Threats of Violence,10785,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1648,Social Media,265794,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1651,IPR/Copyright and Counterfeit,1382,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1652,Identity Theft,7975,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1653,Investment,120000,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1654,Lottery/Sweepstakes,3333,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1655,Malware/Scareware,600,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1656,Misrepresentation,54067,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1658,Non-payment/Non-Delivery,1350824,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1659,Other,87110,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1660,Personal Data Breach,119267,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1661,Phishing/Vishing/Smishing/Pharming,17543,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1662,Ransomware,0,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1664,Real Estate/Rental,21955,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1665,Tech Support,2225,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1667,Virus,0,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1670,Virtual Currency,25,Kansas,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1760,419/Overpayment,359064,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1761,Advanced Fee,335603,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1762,Auction,131123,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1763,BEC/EAC,973345,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1764,Charity,0,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1765,Civil Matter,4936,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1766,Confidence Fraud/Romance,1287015,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1767,Corporate Data Breach,153051,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1768,Credit Card Fraud,610637,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1769,Crimes Against Children,0,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1770,Criminal Forums,0,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1771,Denial of Service,8050,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1772,Employment,220697,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1773,Extortion,157086,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1774,Gambling,0,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1775,Government Impersonation,154236,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1776,Hacktivist,0,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1777,Harassment/Threats of Violence,64614,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1778,,,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1779,Descriptors*,,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1780,Social Media,448824,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1781,"*These descriptors relate to the medium or tool used to facilitate the crime, and are used by the IC3 for tracking purposes only. They are available only after another crime type has been selected.",,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1782,Health Care Related,0,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1783,IPR/Copyright and Counterfeit,4860,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1784,Identity Theft,305811,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1785,Investment,4116660,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1786,Lottery/Sweepstakes,218617,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1787,Malware/Scareware,4812,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1788,Misrepresentation,46038,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1789,No Lead Value,0,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1790,Non-payment/Non-Delivery,1436053,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1791,Other,51419,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1792,Personal Data Breach,148104,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1793,Phishing/Vishing/Smishing/Pharming,31231,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1794,Ransomware,15898,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1795,Re-shipping,53000,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1796,Real Estate/Rental,81567,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1797,Tech Support,44468,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1798,Terrorism,0,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1799,Virus,2837,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1800,,,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1802,Virtual Currency,4013911,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1804,419/Overpayment,125286,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1805,Advanced Fee,120343,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1806,Auction,92259,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1807,BEC/EAC,295375,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1809,Civil Matter,290,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1810,Confidence Fraud/Romance,708196,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1811,Corporate Data Breach,105557,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1812,Credit Card Fraud,149908,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1815,Denial of Service,0,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1816,Employment,38591,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1817,Extortion,6950,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1819,Government Impersonation,1394,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1821,Harassment/Threats of Violence,4715,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1824,Social Media,117139,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1827,IPR/Copyright and Counterfeit,23,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1828,Identity Theft,221545,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1829,Investment,615300,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1830,Lottery/Sweepstakes,35318,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1831,Malware/Scareware,200,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1832,Misrepresentation,28727,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1834,Non-payment/Non-Delivery,682010,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1835,Other,34598,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1836,Personal Data Breach,72838,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1837,Phishing/Vishing/Smishing/Pharming,3595,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1838,Ransomware,0,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1839,Re-shipping,52600,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1840,Real Estate/Rental,35417,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1841,Tech Support,1469,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1843,Virus,0,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1846,Virtual Currency,1261,Louisiana,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1848,419/Overpayment,84640,Maine,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1849,Advanced Fee,145707,Maine,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1850,Auction,31657,Maine,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1851,BEC/EAC,339870,Maine,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1852,Charity,0,Maine,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1853,Civil Matter,0,Maine,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1854,Confidence Fraud/Romance,191258,Maine,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1855,Corporate Data Breach,40125,Maine,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
1856,Credit Card Fraud,55329,Maine,2016,https://www.ic3.gov/Media/PDF/AnnualReport/2016State/StateReport.aspx
